Jogadores,Clube,Valor de mercado,Diferença,%,Nac.,Idade,Dia da alteração
Endrick,SE Palmeiras,55.00,10.00,22.2,Brasil,17,28/03/2024
André,Fluminense FC,25.00,0,0,Brasil,22,28/03/2024
Pedro,CR Flamengo,22.00,0,0,Brasil,26,28/03/2024
Raphael Veiga,SE Palmeiras,18.00,0,0,Brasil,28,28/03/2024
Luis Guilherme,SE Palmeiras,17.00,0,0,Brasil,18,28/03/2024
Giorgian de Arrascaeta,CR Flamengo,15.00,-1.00,-6.3,Uruguai_Itália,29,28/03/2024
Paulinho,Atlético Mineiro,15.00,0,0,Brasil,23,28/03/2024
Gerson,CR Flamengo,15.00,0,0,Brasil,26,28/03/2024
Gabriel Moscardo,SC Corinthians,15.00,0,0,Brasil,18,28/03/2024
Pablo Maia,São Paulo FC,14.00,3.00,27.3,Brasil,22,28/03/2024
Nicolás de la Cruz,CR Flamengo,14.00,0,0,Uruguai_Argentina,26,28/03/2024
Joaquín Piquerez,SE Palmeiras,13.00,0,0,Uruguai_Itália,25,28/03/2024
Bento,Athletico Paranaense,13.00,1.00,8.3,Brasil_Itália,24,28/03/2024
Yuri Alberto,SC Corinthians,13.00,-2.00,-13.3,Brasil,23,28/03/2024
Jhon Arias,Fluminense FC,12.00,2.00,20.0,Colômbia,26,28/03/2024
Luiz Henrique,Botafogo FR,12.00,0,0,Brasil,23,28/03/2024
Mauricio,SC Internacional,12.00,4.00,50.0,Brasil_Paraguai,22,28/03/2024
Murilo,SE Palmeiras,10.00,1.00,11.1,Brasil,27,28/03/2024
Guilherme Arana,Atlético Mineiro,10.00,0,0,Brasil,26,28/03/2024
Everton,CR Flamengo,10.00,0,0,Brasil,28,28/03/2024
Mathías Villasanti,Grêmio FBPA,10.00,0,0,Paraguai,27,28/03/2024
Gabriel Menino,SE Palmeiras,10.00,0,0,Brasil,23,28/03/2024
Rony,SE Palmeiras,10.00,-1.00,-9.1,Brasil,28,28/03/2024
Estêvão,SE Palmeiras,10.00,0,0,Brasil,16,28/03/2024
Gabriel Barbosa,CR Flamengo,9.00,-8.00,-47.1,Brasil,27,28/03/2024
Fabinho,SE Palmeiras,5.00,0,0,Brasil,21,28/03/2024
Adson,CR Vasco da Gama,5.00,0,0,Brasil,23,28/03/2024
Jeffinho,Botafogo FR,5.00,0,0,Brasil,24,28/03/2024
Maycon,SC Corinthians,5.00,0,0,Brasil,26,28/03/2024
Cauly,EC Bahia,5.00,1.00,25.0,Brasil_Alemanha,28,28/03/2024
Yeferson Soteldo,Grêmio FBPA,5.00,0,0,Venezuela,26,28/03/2024
Matheus Pereira,Cruzeiro EC,5.00,0,0,Brasil_Portugal,27,28/03/2024
Marlon,Cruzeiro EC,5.00,0,0,Brasil,26,28/03/2024
Marlon,Fluminense FC,5.00,0,0,Brasil,28,28/03/2024
Victor Hugo,CR Flamengo,5.00,0,0,Brasil,19,28/03/2024
Igor Coronado,SC Corinthians,5.00,-500.00,-9.1,Itália_Brasil,31,28/03/2024
Nicolás Acevedo,EC Bahia,4.50,0,0,Uruguai,24,28/03/2024
Zé Rafael,SE Palmeiras,4.50,0,0,Brasil_Itália,30,28/03/2024
Juan Sforza,CR Vasco da Gama,4.50,0,0,Argentina_Itália,22,28/03/2024
Igor Gomes,Atlético Mineiro,4.50,0,0,Brasil,25,28/03/2024
Otávio,Atlético Mineiro,4.50,0,0,Brasil,29,28/03/2024
Cristian Pavón,Grêmio FBPA,4.50,500.00,12.5,Argentina_Itália,28,28/03/2024
James Rodríguez,São Paulo FC,4.50,500.00,-10.0,Colômbia_Espanha,32,28/03/2024
Luiz Araújo,CR Flamengo,4.50,500.00,-10.0,Brasil,27,28/03/2024
Léo Jardim,CR Vasco da Gama,4.50,1.00,28.6,Brasil_Itália,29,28/03/2024
Raul Gustavo,SC Corinthians,4.00,1.00,33.3,Brasil,24,28/03/2024
Erick,Athletico Paranaense,4.00,0,0,Brasil,26,28/03/2024
Lucas Evangelista,RB Bragantino,4.00,0,0,Brasil,28,28/03/2024
Rayan,CR Vasco da Gama,4.00,0,0,Brasil,17,28/03/2024
David Terans,Fluminense FC,4.00,0,0,Uruguai,29,28/03/2024

